name,x,y,frac_x,frac_y,x11_name,aliases
X_cursor,128,128,0.5,0.5,X_cursor,pirate|x-cursor
bd_double_arrow,128,128,0.5,0.5,bd_double_arrow,c7088f0f3e6c8088236ef8e1e3e70000|nwse-resize|size_fdiag
bottom_left_corner,26,232,0.1016,0.9062,bottom_left_corner,sw-resize
bottom_right_corner,229,232,0.8945,0.9062,bottom_right_corner,se-resize
bottom_side,129,234,0.5039,0.9141,bottom_side,s-resize
bottom_tee,128,230,0.5,0.8984,bottom_tee,
center_ptr,127,17,0.4961,0.0664,center_ptr,
circle,55,17,0.2148,0.0664,circle,forbidden
context-menu,57,17,0.2227,0.0664,context-menu,
copy,55,17,0.2148,0.0664,copy,1081e37283d90000800003c07f3ef6bf|6407b0e94181790501fd1e167b474872|b66166c04f8c3109214a4fbd64a50fc8
cross,128,128,0.5,0.5,cross,cross_reverse|diamond_cross
crossed_circle,128,128,0.5,0.5,crossed_circle,03b6e0fcb3499374a867c041f52298f0|not-allowed
crosshair,128,128,0.5,0.5,crosshair,
dnd-ask,100,65,0.3906,0.2539,dnd-ask,
dnd-copy,100,65,0.3906,0.2539,dnd-copy,
dnd-link,100,65,0.3906,0.2539,dnd-link,alias
dnd_no_drop,100,65,0.3906,0.2539,dnd_no_drop,no-drop
dotbox,128,128,0.5,0.5,dotbox,dot_box_mask|draped_box|icon|target
fd_double_arrow,128,128,0.5,0.5,fd_double_arrow,fcf1c3c7cd4491d801f1e1c78f100000|nesw-resize|size_bdiag
grabbing,128,66,0.5,0.2578,grabbing,closedhand|dnd-move|dnd-none|fcf21c00b30f7e3f83fe0dfd12e71cff
hand1,144,79,0.5625,0.3086,hand1,grab|openhand
hand2,114,18,0.4453,0.0703,hand2,9d800788f1b08800ae810202380a0822|e29285e634086352946a0e7090d73106|pointer|pointing_hand
left_ptr,55,17,0.2148,0.0664,left_ptr,arrow|default|top_left_arrow
left_ptr_watch,55,17,0.2148,0.0664,left_ptr_watch,00000000000000020006000e7e9ffc3f|08e8e1c95fe2fc01f976f1e063a24ccd|3ecb610c1bf2410f44200f48c40d3599|progress
left_side,21,128,0.082,0.5,left_side,w-resize
left_tee,230,128,0.8984,0.5,left_tee,
link,55,17,0.2148,0.0664,link,3085a0e285430894940527032f8b26df|640fb0e74195791501fd1ed57b41487f|a2a266d0498c3104214a47bd64ab0fc8
ll_angle,30,223,0.1172,0.8711,ll_angle,
lr_angle,224,230,0.875,0.8984,lr_angle,
move,128,128,0.5,0.5,move,4498f0e0c1937ffe01fd06f973665830|9081237383d90e509aa00f00170e968f|all-scroll|fleur|size_all
pencil,46,211,0.1797,0.8242,pencil,draft
plus,128,128,0.5,0.5,plus,cell
pointer-move,55,17,0.2148,0.0664,pointer-move,
question_arrow,42,86,0.1641,0.3359,question_arrow,5c6cd98b3f3ebcb1f9c7f1c204630408|d9ce0ab605698f320427677b458ad60b|help|left_ptr_help|whats_this
right_ptr,204,17,0.7969,0.0664,right_ptr,draft_large|draft_small
right_side,233,128,0.9102,0.5,right_side,e-resize
right_tee,29,128,0.1133,0.5,right_tee,
sb_down_arrow,128,222,0.5,0.8672,sb_down_arrow,down-arrow
sb_h_double_arrow,128,128,0.5,0.5,sb_h_double_arrow,028006030e0e7ebffc7f7070c0600140|14fef782d02440884392942c1120523|col-resize|ew-resize|h_double_arrow|size-hor|size_hor|split_h
sb_left_arrow,33,128,0.1289,0.5,sb_left_arrow,left-arrow
sb_right_arrow,223,128,0.8711,0.5,sb_right_arrow,right-arrow
sb_up_arrow,128,33,0.5,0.1289,sb_up_arrow,up-arrow
sb_v_double_arrow,128,128,0.5,0.5,sb_v_double_arrow,00008160000006810000408080010102|2870a09082c103050810ffdffffe0204|double_arrow|ns-resize|row-resize|size-ver|size_ver|split_v|v_double_arrow
tcross,128,128,0.5,0.5,tcross,color-picker
top_left_corner,29,24,0.1133,0.0938,top_left_corner,nw-resize
top_right_corner,229,24,0.8945,0.0938,top_right_corner,ne-resize
top_side,128,23,0.5,0.0898,top_side,n-resize
top_tee,128,27,0.5,0.1055,top_tee,
ul_angle,33,33,0.1289,0.1289,ul_angle,
ur_angle,225,33,0.8789,0.1289,ur_angle,
vertical-text,128,128,0.5,0.5,vertical-text,
wait,128,128,0.5,0.5,wait,watch
wayland-cursor,128,128,0.5,0.5,wayland-cursor,
xterm,128,128,0.5,0.5,xterm,ibeam|text
zoom_in,116,116,0.4531,0.4531,zoom-in,
zoom_out,116,116,0.4531,0.4531,zoom-out,
